ID;V;A;time;C
ID50;0.52225;1;0.666666667;0.38553553
ID50;0.52225;1;1;0.381735485
ID51;0.534875;1;0;0.378876243
ID51;0.534875;1;0.333333333;0.381337679
ID51;0.534875;1;0.666666667;0.386532187
ID51;0.534875;1;1;0.418076416
ID52;0.5265;1;0;0.377652188
ID52;0.5265;1;0.333333333;0.412199608
ID52;0.5265;1;0.666666667;0.410466888
ID52;0.5265;1;1;0.352248252
ID53;0.541875;1;0;0.359221178
ID53;0.541875;1;0.333333333;0.354414027
ID53;0.541875;1;0.666666667;0.416484228
ID53;0.541875;1;1;0.431296055
ID54;0.53025;1;0;0.400447396
ID54;0.53025;1;0.333333333;0.414812853
ID54;0.53025;1;0.666666667;0.424252763
ID54;0.53025;1;1;0.349959158
ID55;0.549;1;0;0.342864509
ID55;0.549;1;0.333333333;0.338894441
ID55;0.549;1;0.666666667;0.420145305
ID55;0.549;1;1;0.349817156
ID56;0.53925;1;0;0.40264231
ID56;0.53925;1;0.333333333;0.343379607
ID56;0.53925;1;0.666666667;0.399012248
ID56;0.53925;1;1;0.434774552
ID57;0.53225;1;0;0.378955458
ID57;0.53225;1;0.333333333;0.398431693
ID57;0.53225;1;0.666666667;0.37845783
ID57;0.53225;1;1;0.405831327
ID58;0.523375;1;0;0.380688642
ID58;0.523375;1;0.333333333;0.380882382
ID58;0.523375;1;0.666666667;0.329845824
ID58;0.523375;1;1;0.403419667
ID59;0.52175;1;0;0.372146908
ID59;0.52175;1;0.333333333;0.390230088
ID59;0.52175;1;0.666666667;0.337494218
ID59;0.52175;1;1;0.375421227
ID60;0.52575;1;0;0.373143211
ID60;0.52575;1;0.333333333;0.388907957
ID60;0.52575;1;0.666666667;0.390757753
ID60;0.52575;1;1;0.34070433
ID61;0.5275;1;0;0.396373282
ID61;0.5275;1;0.333333333;0.338930215
ID61;0.5275;1;0.666666667;0.405543344
ID61;0.5275;1;1;0.35026566
ID62;0.521;1;0;0.363569447
ID62;0.521;1;0.333333333;0.393376716
ID62;0.521;1;0.666666667;0.38568343
ID62;0.521;1;1;0.346557646
ID63;0.52225;1;0;0.337153646
ID63;0.52225;1;0.333333333;0.391463643
ID63;0.52225;1;0.666666667;0.394957456
ID63;0.52225;1;1;0.396566976
ID64;0.5175;1;0;0.391383551
ID64;0.5175;1;0.333333333;0.384382932
ID64;0.5175;1;0.666666667;0.397651939
ID64;0.5175;1;1;0.38968191
ID65;0.528375;1;0;0.372002626
ID65;0.528375;1;0.333333333;0.375992643
ID65;0.528375;1;0.666666667;0.388269401
ID65;0.528375;1;1;0.401432158
ID66;0.5235;1;0;0.37306551
ID66;0.5235;1;0.333333333;0.386602735
ID66;0.5235;1;0.666666667;0.396528459
ID66;0.5235;1;1;0.394528875
ID67;0.523;1;0;0.315451274
ID67;0.523;1;0.333333333;0.372866562
ID67;0.523;1;0.666666667;0.383788582
ID67;0.523;1;1;0.340813265
ID68;0.52125;1;0;0.386665615
ID68;0.52125;1;0.333333333;0.372306971
ID68;0.52125;1;0.666666667;0.341553095
ID68;0.52125;1;1;0.339555536
ID69;0.52175;1;0;0.366473549
ID69;0.52175;1;0.333333333;0.399186184
ID69;0.52175;1;0.666666667;0.430192383
ID69;0.52175;1;1;0.459733734
ID70;0.53425;1;0;0.178876378
ID70;0.53425;1;0.333333333;0.202247123
ID70;0.53425;1;0.666666667;0.294974036
ID70;0.53425;1;1;0.326329021
ID71;0.516125;1;0;0.179391847
ID71;0.516125;1;0.333333333;0.25913688
ID71;0.516125;1;0.666666667;0.223671055
ID71;0.516125;1;1;0.203847769
ID72;0.5185;1;0;0.222799959
ID72;0.5185;1;0.333333333;0.237400458
ID72;0.5185;1;0.666666667;0.266928761
ID72;0.5185;1;1;0.28496969
